Category,Module,Lesson,Issue Type,Updates Needed,Priority,Status
START HERE: Orientation Lessons,Your First 3 Steps (don't skip this),Welcome Watch This First!,None,✅ All good,,All good
START HERE: Orientation Lessons,Your First 3 Steps (don't skip this),Winning Applicants Formula,PDF,PDF needs update,Medium,Needs update
START HERE: Orientation Lessons,Handy Stuff You Should Know,Learning Portal — Where to Find Stuff,None,✅ All good,,All good
START HERE: Orientation Lessons,Handy Stuff You Should Know,Group Coaching — How to Book,Colours + Content + Video,"Colours wrong; About this lesson needs rewrite (based on old coaching structure); Video needs new intro & outro",High,Needs update
START HERE: Orientation Lessons,Handy Stuff You Should Know,1:1 Coaching,Full Update,Full update needed — pricing and all content is wrong,High,Needs update
START HERE: Orientation Lessons,Handy Stuff You Should Know,CAP is Available on Your Phone,Video,Video needs new intro & outro,Medium,Needs update
START HERE: Orientation Lessons,Handy Stuff You Should Know,How to Turn Off Notifications,None,Not audited yet,,TBC
START HERE: Orientation Lessons,Handy Stuff You Should Know,Pre Recorded Game Plan & Orientation Session,None,Not audited yet,,TBC
Winning Mindset & Role Clarity,Winning Mindset,Reset Your Mindset,Colours + Video + Workbook,"Colours wrong; Video needs new intro & outro; Workbook colours old; Old career blueprint listed; Outdated career blueprint attachment",High,Needs update
Winning Mindset & Role Clarity,Winning Mindset,The Action Shift,Workbook,Workbook needs a refresh (video is new),Medium,Needs update
Winning Mindset & Role Clarity,Get Clarity,Get Role Clarity,Video + Workbook + Link,"Video needs update; Roadmap old (colours); Workbook dated (old blueprint still listed); Community post link is a year old — needs replacing",High,Needs update
Winning Mindset & Role Clarity,Get Clarity,Career Blueprint Builder™,Missing Video,✅ Has updated GPT + editable PDF — needs a video added,High,Needs update
Winning Mindset & Role Clarity,Get Clarity,How to Research & Expand Your Role Opportunities,Video + Content,"Video is dated; No blurb explaining what the lesson is about",Medium,Needs update
Winning Mindset & Role Clarity,Get Clarity,Using AI To Get Clarity & Expand Options,Full Update,"Content dated (references ChatGPT/OpenAI link); Colours dated; AI guidance needs full refresh",High,Needs update
Winning Mindset & Role Clarity,Get Clarity,Creating Your UVP (Unique Values Proposition),None,✅ Not bad — no major changes needed,,All good
Winning Mindset & Role Clarity,Get Salary Clarity,Salary Clarity — Know Your Worth,Video + Colours + Link + PDF,"Community thread link blocked; Old colours; Video needs update; Script doc needs update (colours + font at minimum)",High,Needs update
Winning Mindset & Role Clarity,Get Salary Clarity,How to ""Benchmark"" Your Salary,Video,Video needs update,Medium,Needs update
Early Access,⚠️ No modules — needs building out,Recruiter Reach Out Strategy,Structure,"No modules built; Category needs to be built out further with more lessons",Medium,Needs building out
Genius Applications [Resume LinkedIn KSC],Expert Resume Writing,Expert Resume Writing,Full Rework,"Full rework — templates and GPT being recreated; Fix ""certificate"" typo in all resume templates",High,Needs update
Genius Applications [Resume LinkedIn KSC],Expert Resume Writing,Audience Analysis,None,Not audited yet,,TBC
Genius Applications [Resume LinkedIn KSC],Expert Resume Writing,Structure & Layout of Your Resume,None,Not audited yet,,TBC
Genius Applications [Resume LinkedIn KSC],Expert Resume Writing,How To Write Appealing Content,None,Not audited yet,,TBC
Genius Applications [Resume LinkedIn KSC],Expert Resume Writing,The Design of Your Resume,None,Not audited yet,,TBC
Genius Applications [Resume LinkedIn KSC],Expert Resume Writing,Write a Clever Cover Letter,None,Not audited yet,,TBC
Genius Applications [Resume LinkedIn KSC],Genius Tools [AI],Resume Genius Tool™,Full Rework,Full rework,High,Needs update
Genius Applications [Resume LinkedIn KSC],Genius Tools [AI],Cover Letter Genius Tool,Full Rework,Full rework,High,Needs update
Genius Applications [Resume LinkedIn KSC],Submit Your Resume For Review Here,How To Submit Your Resume For Coaches Review,Colours,✅ All good — booking link needs colour update only,Low,Needs update
Genius Applications [Resume LinkedIn KSC],Key Selection Criteria,Addressing Key Selection Criteria (Govt),None,✅ All good,,All good
Genius Applications [Resume LinkedIn KSC],After Your Applications,The Reverse-Engineered Application [Navigating Rejection],None,✅ All good,,All good
Genius Applications [Resume LinkedIn KSC],Leveraging LinkedIn,Leveraging LinkedIn,None,✅ All good,,All good
Influential Interviews,⚠️ No modules — needs building out,Module 5 - Mastering Interviews,Video + Workbook + Link + Naming,"Video dated; Workbook colours old; Workbook references Facebook group; Community thread link blocked; Video title doesn't match lesson name — rename",High,Needs update
Influential Interviews,⚠️ No modules — needs building out,How to Ace Your Interviews,Video + Download,"Download is not a PDF and opens messy — fix or replace; Video needs update",High,Needs update
